codigo_arancelario,descripcion,name,sigla
84.38.10.10 a 84.38.80.90,PIEZAS O ÍTEMES,U,U-10
84.39.10.00 a 84.39.30.00,PIEZAS O ÍTEMES,U,U-10
84.40.10.00,PIEZAS O ÍTEMES,U,U-10
84.41.10.10 a 84.41.80.00,PIEZAS O ÍTEMES,U,U-10
84.42.10.00 a 84.42.30.00,PIEZAS O ÍTEMES,U,U-10
84.42.30.00,PIEZAS O ÍTEMES,U,U-10
84.43.11.00 a 84.43.60.00,PIEZAS O ÍTEMES,U,U-10
84.44 a 84.47,PIEZAS O ÍTEMES,U,U-10
84.50.11.11 a 84.50.20.00,PIEZAS O ÍTEMES,U,U-10
84.51.10.00 a 84.51.80.90,PIEZAS O ÍTEMES,U,U-10
84.52.10.00 a 84.52.29.00,PIEZAS O ÍTEMES,U,U-10
84.53.10.00 a 84.53.80.00,PIEZAS O ÍTEMES,U,U-10
84.54.10.00 a 84.54.30.90,PIEZAS O ÍTEMES,U,U-10
84.55.10.00 a 84.55.30.00,PIEZAS O ÍTEMES,U,U-10
84.56 a 84.65,PIEZAS O ÍTEMES,U,U-10
84.67.11.10 a 84.67.89.00,PIEZAS O ÍTEMES,U,U-10
84.68.10.00 a 84.68.80.00,PIEZAS O ÍTEMES,U,U-10
84.69 a 84.72,PIEZAS O ÍTEMES,U,U-10
84.74.10.10 a 84.74.80.00,PIEZAS O ÍTEMES,U,U-10
84.75.10.00 a 84.75.29.00,PIEZAS O ÍTEMES,U,U-10
84.76.21.00 a 84.76.89.00,PIEZAS O ÍTEMES,U,U-10
84.77.10.00 a 84.77.80.00,PIEZAS O ÍTEMES,U,U-10
84.78.10.00,PIEZAS O ÍTEMES,U,U-10
84.79.10.00 a 84.79.89.90,PIEZAS O ÍTEMES,U,U-10
84.82.10.10 a 84.82.80.90,PIEZAS O ÍTEMES,U,U-10
84.83.10.10 a 84.83.60.90,PIEZAS O ÍTEMES,U,U-10
85.01 a 85.02,PIEZAS O ÍTEMES,U,U-10
85.04.10.00 a 85.04.50.00,PIEZAS O ÍTEMES,U,U-10
85.06.10.10 a 85.06.80.90,PIEZAS O ÍTEMES,U,U-10
85.07.10.10 a 85.07.80.00,PIEZAS O ÍTEMES,U,U-10
